[2025-10-03 09:13:21,277::train::INFO] Namespace(config='configs/new.yml', device='cuda', resume_iter=None, logdir='./logs_spectra')
[2025-10-03 09:13:21,277::train::INFO] {'model': {'network': 'dualenc_v4', 'hidden_dim': 128, 'num_convs': 6, 'num_convs_local': 4, 'cutoff': 10.0, 'mlp_act': 'relu', 'edge_order': 3, 'edge_encoder': 'mlp', 'smooth_conv': False, 'beta_schedule': 'quad', 'beta_start': 1e-07, 'beta_end': 0.002, 'num_diffusion_timesteps': 5000, 'total_spec_len': 1200, 'spec_patch_size': 20, 'spec_embed_dim': 128, 'spec_num_heads': 4, 'spec_num_layers': 2, 'spec_num_concepts': 8}, 'train': {'seed': 2021, 'batch_size': 32, 'val_freq': 3000, 'max_iters': 1000000, 'max_grad_norm': 1000.0, 'anneal_power': 2.0, 'kl_weight': 0.0001, 'optimizer': {'type': 'adam', 'lr': 0.0001, 'weight_decay': 0.0, 'beta1': 0.95, 'beta2': 0.999}, 'scheduler': {'type': 'cosine', 'T_max': 500000, 'eta_min': 1e-06}}, 'dataset': {'train': './qme14s_all/train_data.pkl', 'val': './qme14s_all/test_data.pkl', 'test': './qme14s_all/test_data.pkl'}}
[2025-10-03 09:13:21,277::train::INFO] 正在加载数据集...
[2025-10-03 09:13:21,418::train::INFO] 数据集加载成功: 训练集 90 | 验证集 10
[2025-10-03 09:13:21,418::train::INFO] 正在构建模型...
[2025-10-03 09:13:22,220::train::INFO] [训练] Iter 00001 | 总损失 3191137.00 | 全局损失 180.20 | 局部损失 3190957.25 | 梯度范数 254732352.00 | 学习率 0.000100
[2025-10-03 09:13:22,363::train::INFO] [训练] Iter 00002 | 总损失 1651349.75 | 全局损失 110.34 | 局部损失 1651239.25 | 梯度范数 190003888.00 | 学习率 0.000100
[2025-10-03 09:13:22,490::train::INFO] [训练] Iter 00003 | 总损失 55484.34 | 全局损失 187.85 | 局部损失 55296.46 | 梯度范数 13629515.00 | 学习率 0.000100
[2025-10-03 09:13:22,599::train::INFO] [训练] Iter 00004 | 总损失 13141.28 | 全局损失 118.79 | 局部损失 13022.46 | 梯度范数 6217774.00 | 学习率 0.000100
[2025-10-03 09:13:22,715::train::INFO] [训练] Iter 00005 | 总损失 25839.84 | 全局损失 214.13 | 局部损失 25625.68 | 梯度范数 8412143.00 | 学习率 0.000100
[2025-10-03 09:13:22,821::train::INFO] [训练] Iter 00006 | 总损失 2698.13 | 全局损失 96.73 | 局部损失 2601.38 | 梯度范数 2296173.50 | 学习率 0.000100
[2025-10-03 09:13:22,929::train::INFO] [训练] Iter 00007 | 总损失 5901.13 | 全局损失 89.57 | 局部损失 5811.53 | 梯度范数 2970906.25 | 学习率 0.000100
[2025-10-03 09:13:23,034::train::INFO] [训练] Iter 00008 | 总损失 12500.65 | 全局损失 182.97 | 局部损失 12317.65 | 梯度范数 6621842.00 | 学习率 0.000100
[2025-10-03 09:13:23,141::train::INFO] [训练] Iter 00009 | 总损失 2103.97 | 全局损失 94.64 | 局部损失 2009.29 | 梯度范数 1438907.12 | 学习率 0.000100
[2025-10-03 09:13:23,247::train::INFO] [训练] Iter 00010 | 总损失 2450.29 | 全局损失 112.65 | 局部损失 2337.61 | 梯度范数 1293793.12 | 学习率 0.000100
[2025-10-03 09:13:23,351::train::INFO] [训练] Iter 00011 | 总损失 2657.46 | 全局损失 132.28 | 局部损失 2525.15 | 梯度范数 1293602.88 | 学习率 0.000100
[2025-10-03 09:13:23,491::train::INFO] [训练] Iter 00012 | 总损失 2681.62 | 全局损失 334.55 | 局部损失 2347.04 | 梯度范数 1606662.38 | 学习率 0.000100
[2025-10-03 09:13:23,638::train::INFO] [训练] Iter 00013 | 总损失 787.91 | 全局损失 129.20 | 局部损失 658.68 | 梯度范数 242558.03 | 学习率 0.000100
[2025-10-03 09:13:23,782::train::INFO] [训练] Iter 00014 | 总损失 6565.11 | 全局损失 245.34 | 局部损失 6319.74 | 梯度范数 3110942.50 | 学习率 0.000100
[2025-10-03 09:13:23,909::train::INFO] [训练] Iter 00015 | 总损失 7361.37 | 全局损失 75.42 | 局部损失 7285.92 | 梯度范数 2756703.00 | 学习率 0.000100
[2025-10-03 09:13:24,021::train::INFO] [训练] Iter 00016 | 总损失 9838.32 | 全局损失 71.59 | 局部损失 9766.69 | 梯度范数 3948678.25 | 学习率 0.000100
[2025-10-03 09:13:24,132::train::INFO] [训练] Iter 00017 | 总损失 11316.75 | 全局损失 133.19 | 局部损失 11183.52 | 梯度范数 6144985.00 | 学习率 0.000100
[2025-10-03 09:13:24,244::train::INFO] [训练] Iter 00018 | 总损失 1284.46 | 全局损失 99.10 | 局部损失 1185.33 | 梯度范数 576623.38 | 学习率 0.000100
[2025-10-03 09:13:24,351::train::INFO] [训练] Iter 00019 | 总损失 1434.69 | 全局损失 241.52 | 局部损失 1193.14 | 梯度范数 541741.88 | 学习率 0.000100
